"","diff1960","diff1970","diff1980","diff1990","diff2000","diff2010"
"AK",-2.6,-1.6,-1.3,-0.4,-0.6,-0.8
"AL",-1.9,-1.6,-1.4,-1.7,-2.4,-3.4
"AR",0.1,0,-0.4,-1,-2,-2.8
"AZ",-0.5,0.1,0.5,0.8,0.3,0.5
"CA",1,1,0.6,0.4,1.3,1.8
"CO",1.1,1.3,1.7,1.8,1.6,1.3
"CT",1.3,1.8,1.2,1.7,1.5,1.9
"DE",-0.7,-0.9,-0.5,-0.4,-0.4,-0.5
"FL",0.1,0,0.1,0.3,0.2,0.2
"GA",-2.3,-2.4,-1.6,-1.6,-1.7,-1.5
"HI",1.5,3.2,3.4,2.8,2.7,2.6
"IA",2.1,1.8,2.1,2.1,1.5,0.8
"ID",1.6,1.2,1.5,1.8,1.3,0.6
"IL",-0.2,-0.7,-0.4,-0.5,-0.2,0.2
"IN",0.5,0.1,0.2,0,-0.8,-1.3
"KS",2.1,2,1.5,1.6,0.6,-0.2
"KY",-0.2,-0.8,-0.9,-1,-1.7,-2.9
"LA",-1.9,-2.1,-2.1,-2.3,-2.7,-3
"MA",0.7,1.1,1.1,1.4,1.4,1.7
"MD",-1.2,-0.6,-0.4,-0.5,-0.6,0.2
"ME",0.4,-0.1,0.7,1.2,0.8,0.3
"MI",0.4,-0.1,0,-0.3,-0.4,-0.8
"MN",2,2.2,2.4,2.4,2.2,2
"MO",0.4,-0.2,-0.1,-0.1,-0.7,-1.4
"MS",-2.2,-2.4,-1.9,-2.3,-3.4,-4
"MT",-0.2,0,0.1,1,0.5,-0.2
"NC",-1.6,-1.5,-0.7,-0.7,-1.2,-1
"ND",1.7,2.2,1.9,2.1,2,0.9
"NE",2.2,1.7,1.7,1.5,1.5,0.9
"NH",0.9,0.8,1.4,1.6,1.7,1.5
"NJ",0.1,0.2,0.1,0,0.5,1.2
"NM",-0.5,-0.3,0.1,0.6,0.3,-0.6
"NV",-2.2,-1.5,-1.1,-0.9,-0.9,-1
"NY",-0.1,-0.3,-0.3,-0.8,0.8,1.5
"OH",0.4,0,-0.4,-0.1,-0.5,-1.1
"OK",1,0.3,-0.1,-0.4,-1.8,-3.1
"OR",1.2,1.6,1.2,1.1,1,0.7
"PA",-0.3,-0.4,-0.4,0,-0.1,-0.3
"RI",0.8,0.9,0.9,1,1.2,0.7
"SC",-3.7,-2.7,-1.9,-1.8,-2.1,-2
"SD",0.7,1.5,1.1,1.7,1.2,0.5
"TN",-0.4,-0.8,-0.6,-1.2,-2.1,-2.6
"TX",0.4,0,-0.1,-0.2,-0.3,-0.4
"UT",2,2,2.1,2.6,1.8,1
"VA",-1.1,-0.6,-0.4,-0.1,0,0.3
"VT",0.6,1.1,0.6,1.3,1.4,1.3
"WA",1.3,1.1,1.3,1.4,1.4,1.3
"WI",1.3,1.7,1.6,1.5,1.2,0.8
"WV",-0.2,-1.6,-1.1,-1,-1.9,-3.3
"WY",-0.6,0,0.1,1,0.3,-0.7
